Id,Name,Mime type,Score,Deleted at,Library reference,Url,Checked on,AlternativeText:2,Contrast:2,HeadingsHigherLevel:3,HeadingsPresence:2,HeadingsSequential:3,HeadingsStartAtOne:3,HtmlBrokenLink:2,HtmlCaption:2,HtmlColorContrast:2,HtmlDefinitionList:3,HtmlEmptyHeading:2,HtmlEmptyTableHeader:2,HtmlHasLang:3,HtmlHeadingOrder:3,HtmlHeadingsPresence:2,HtmlHeadingsStart:2,HtmlImageAlt:2,HtmlImageRedundantAlt:3,HtmlLabel:2,HtmlLinkName:3,HtmlList:3,HtmlObjectAlt:2,HtmlTdHasHeader:2,HtmlTitle:3,ImageContrast:2,ImageDecorative:2,ImageDescription:2,ImageOcr:3,ImageSeizure:1,LanguageCorrect:3,LanguagePresence:3,Ocred:2,Parsable:1,Scanned:1,Security:1,TableHeaders:2,Tagged:2,Title:3
42177360,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177360,2021-01-13 03:05:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177972,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177972,2021-01-13 03:07:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177580,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177580,2021-01-13 18:41:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177701,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177701,2021-01-13 18:40:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42178099,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42178099,2021-01-13 03:02:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177552,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177552,2021-01-13 18:40:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179285,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179285,2021-01-13 03:09:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179405,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179405,2021-01-13 03:07:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179582,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179582,2021-01-13 18:40:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179593,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179593,2021-01-13 18:41:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42180005,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42180005,2021-01-13 03:07:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179764,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179764,2021-01-13 03:07:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177447,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177447,2021-01-13 18:40:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42178498,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42178498,2021-01-13 03:07:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177356,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177356,2021-01-13 03:08:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42178336,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42178336,2021-01-13 03:05:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179058,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179058,2021-01-13 03:01:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179660,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179660,2021-01-13 18:41:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179881,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179881,2021-01-13 03:07:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179918,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179918,2021-01-13 03:12:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179809,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179809,2021-01-13 03:12:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179836,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179836,2021-01-13 03:07:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179537,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179537,2021-01-13 03:17:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42178277,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42178277,2021-01-13 03:05:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177573,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177573,2021-01-13 18:41:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177613,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177613,2021-01-13 18:41:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179318,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179318,2021-01-13 03:05:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42180064,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42180064,2021-01-13 03:12:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42180204,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42180204,2021-01-13 03:08:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42178902,1.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42178902,2021-01-13 03:04:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177680,10.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177680,2021-01-13 18:40:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177731,10.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177731,2021-01-13 18:40:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42180095,10.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42180095,2021-01-13 03:08:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42179929,10.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42179929,2021-01-13 03:07:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42177512,10.png,image/png,0.25,,,https://rutgers.instructure.com/courses/291694/files/42177512,2021-01-14 04:51:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
